"statistikkvariabel";"medietype";"alder";"1992";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Tid brukt på en gjennomsnittsdag (minutter)";"Papiravis";"9-15 år";9;9;8;10;9;9;6;8;6;9;8;6;7;9;5;7;5;5;5;3;3;3;1;1;2;1;1;2;2;1
"Tid brukt på en gjennomsnittsdag (minutter)";"Papiravis";"16-24 år";27;26;30;23;24;21;21;23;18;16;19;15;14;14;15;12;10;10;11;6;6;6;4;4;2;2;2;1;0;1
"Tid brukt på en gjennomsnittsdag (minutter)";"Papiravis";"25-44 år";37;38;40;36;35;33;32;30;28;28;29;27;24;24;24;21;19;16;16;17;12;11;9;7;6;5;4;4;2;3
"Tid brukt på en gjennomsnittsdag (minutter)";"Papiravis";"45-64 år";49;54;48;47;46;43;41;45;41;42;42;42;42;40;39;37;35;35;32;31;31;27;24;20;13;14;12;11;9;9
"Tid brukt på en gjennomsnittsdag (minutter)";"Papiravis";"65-79 år";58;65;62;64;55;54;56;62;52;52;54;56;53;52;54;55;51;47;52;53;49;49;44;38;37;37;34;33;29;26
"Tid brukt på en gjennomsnittsdag (minutter)";"Fjernsyn";"9-15 år";97;110;106;104;127;127;136;129;140;134;141;123;132;123;126;126;115;105;114;95;103;74;62;62;68;14;43;..;20;.
"Tid brukt på en gjennomsnittsdag (minutter)";"Fjernsyn";"16-24 år";96;94;126;112;107;118;153;137;148;146;144;132;134;152;144;136;128;133;135;105;92;82;69;66;50;44;44;..;27;.
"Tid brukt på en gjennomsnittsdag (minutter)";"Fjernsyn";"25-44 år";99;109;113;107;108;114;131;125;147;140;131;122;141;142;141;133;143;143;142;119;117;117;99;102;81;57;51;..;32;.
"Tid brukt på en gjennomsnittsdag (minutter)";"Fjernsyn";"45-64 år";119;124;131;118;128;115;136;140;158;147;137;145;156;146;168;154;155;165;170;154;145;154;123;135;128;93;102;..;71;.
"Tid brukt på en gjennomsnittsdag (minutter)";"Fjernsyn";"65-79 år";138;136;162;162;136;143;177;188;209;169;177;193;180;188;204;190;201;206;221;192;212;236;181;165;196;110;160;..;132;.
"Tid brukt på en gjennomsnittsdag (minutter)";"Radio";"9-15 år";24;25;32;21;21;21;29;24;19;16;24;20;17;17;13;12;10;16;15;18;20;19;15;12;11;14;12;..;7;10
"Tid brukt på en gjennomsnittsdag (minutter)";"Radio";"16-24 år";86;92;95;79;98;74;86;90;71;80;66;70;65;64;53;50;49;55;65;60;55;67;51;43;33;44;21;..;11;11
"Tid brukt på en gjennomsnittsdag (minutter)";"Radio";"25-44 år";96;110;106;85;94;90;100;88;97;85;101;82;83;84;81;72;85;83;82;100;87;93;75;78;80;57;62;..;52;33
"Tid brukt på en gjennomsnittsdag (minutter)";"Radio";"45-64 år";109;106;116;100;97;98;103;101;127;114;111;100;106;107;109;112;113;110;109;119;116;141;118;98;103;93;89;..;72;65
"Tid brukt på en gjennomsnittsdag (minutter)";"Radio";"65-79 år";97;98;100;102;84;94;112;90;104;102;103;99;126;104;101;125;106;97;121;143;132;138;123;114;128;110;114;..;123;100
"Tid brukt på en gjennomsnittsdag (minutter)";"Lydmedier";"9-15 år";45;46;34;35;41;41;43;45;39;35;46;36;29;38;41;40;32;48;29;36;39;32;31;34;41;36;32;53;43;55
"Tid brukt på en gjennomsnittsdag (minutter)";"Lydmedier";"16-24 år";86;84;74;81;101;81;89;97;104;100;91;79;88;92;98;89;103;105;91;80;78;82;75;89;102;102;105;125;127;165
"Tid brukt på en gjennomsnittsdag (minutter)";"Lydmedier";"25-44 år";33;37;34;30;38;38;35;50;51;49;44;46;47;45;44;49;47;42;42;40;46;46;39;52;59;54;65;70;81;102
"Tid brukt på en gjennomsnittsdag (minutter)";"Lydmedier";"45-64 år";11;18;11;14;14;14;17;27;19;21;26;29;18;24;19;20;18;21;14;20;20;16;17;18;27;23;30;40;42;59
"Tid brukt på en gjennomsnittsdag (minutter)";"Lydmedier";"65-79 år";3;7;9;4;7;4;6;9;10;7;8;9;9;9;10;6;6;6;9;8;11;6;7;5;11;9;9;19;22;30
"Tid brukt på en gjennomsnittsdag (minutter)";"Ukeblad";"9-15 år";7;5;3;4;3;3;2;3;2;3;4;3;3;3;2;2;2;1;1;1;1;2;1;0;0;0;0;0;0;..
"Tid brukt på en gjennomsnittsdag (minutter)";"Ukeblad";"16-24 år";8;8;5;6;5;7;3;5;3;5;4;4;4;3;3;1;1;2;2;2;1;1;0;1;0;0;0;0;0;..
"Tid brukt på en gjennomsnittsdag (minutter)";"Ukeblad";"25-44 år";6;6;4;4;4;4;4;4;4;4;4;5;4;5;3;4;3;3;3;2;2;2;1;1;1;1;0;1;0;..
"Tid brukt på en gjennomsnittsdag (minutter)";"Ukeblad";"45-64 år";7;7;7;6;5;4;4;6;4;4;4;5;6;4;5;4;4;4;5;4;3;3;3;2;1;2;2;1;1;..
"Tid brukt på en gjennomsnittsdag (minutter)";"Ukeblad";"65-79 år";10;15;17;13;10;10;12;8;6;10;10;10;7;8;9;9;11;5;9;7;6;6;7;6;4;7;5;7;4;..
"Tid brukt på en gjennomsnittsdag (minutter)";"Bøker";"9-15 år";14;15;10;7;11;8;11;8;9;11;16;9;15;15;10;11;11;11;11;18;14;16;13;14;14;13;9;11;11;10
"Tid brukt på en gjennomsnittsdag (minutter)";"Bøker";"16-24 år";17;12;13;14;9;7;14;7;8;16;10;10;11;11;12;10;12;14;15;14;12;18;16;12;10;11;12;6;8;15
"Tid brukt på en gjennomsnittsdag (minutter)";"Bøker";"25-44 år";13;11;12;10;9;11;9;11;13;14;10;12;14;13;13;13;15;15;13;15;15;13;13;12;14;10;12;10;11;11
"Tid brukt på en gjennomsnittsdag (minutter)";"Bøker";"45-64 år";12;11;13;15;9;11;11;11;13;14;13;13;16;14;13;16;15;12;19;15;17;14;17;18;16;17;13;16;11;15
"Tid brukt på en gjennomsnittsdag (minutter)";"Bøker";"65-79 år";13;7;7;10;18;12;14;12;14;12;15;14;19;18;17;13;21;17;29;24;28;22;26;30;23;22;20;23;23;30
"Tid brukt på en gjennomsnittsdag (minutter)";"Tidsskrift";"9-15 år";1;5;2;2;1;1;2;1;1;2;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;.
"Tid brukt på en gjennomsnittsdag (minutter)";"Tidsskrift";"16-24 år";4;1;4;5;2;4;2;2;3;2;2;3;2;1;2;1;2;1;1;1;1;2;1;1;1;0;1;0;0;.
"Tid brukt på en gjennomsnittsdag (minutter)";"Tidsskrift";"25-44 år";5;5;5;5;5;4;6;5;4;3;4;3;3;4;3;4;3;3;3;2;3;4;2;3;1;1;2;1;1;.
"Tid brukt på en gjennomsnittsdag (minutter)";"Tidsskrift";"45-64 år";6;6;5;5;5;4;5;6;4;5;2;5;4;3;4;4;4;6;5;3;4;3;3;3;2;3;2;2;2;.
"Tid brukt på en gjennomsnittsdag (minutter)";"Tidsskrift";"65-79 år";4;7;7;8;6;6;4;5;2;5;5;4;4;5;5;9;6;6;7;6;4;3;6;4;3;3;4;2;3;.
"Tid brukt på en gjennomsnittsdag (minutter)";"Tegneserieblad";"9-15 år";15;12;15;13;11;12;10;12;9;9;10;7;11;7;8;6;4;5;5;5;6;5;3;3;3;4;3;5;3;.
"Tid brukt på en gjennomsnittsdag (minutter)";"Tegneserieblad";"16-24 år";5;4;4;4;4;3;4;3;2;4;2;3;3;3;3;2;1;3;2;0;1;1;1;1;0;2;1;1;0;.
"Tid brukt på en gjennomsnittsdag (minutter)";"Tegneserieblad";"25-44 år";1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;.
"Tid brukt på en gjennomsnittsdag (minutter)";"Tegneserieblad";"45-64 år";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;.
"Tid brukt på en gjennomsnittsdag (minutter)";"Tegneserieblad";"65-79 år";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;.
"Tid brukt på en gjennomsnittsdag (minutter)";"Hjemme-PC";"9-15 år";.;.;6;17;18;18;23;25;21;24;37;30;43;48;74;57;64;62;75;62;73;75;.;.;.;.;.;.;.;.
"Tid brukt på en gjennomsnittsdag (minutter)";"Hjemme-PC";"16-24 år";.;.;24;14;20;21;28;28;44;40;63;64;83;95;108;102;130;138;141;145;170;167;.;.;.;.;.;.;.;.
"Tid brukt på en gjennomsnittsdag (minutter)";"Hjemme-PC";"25-44 år";.;.;11;13;13;15;22;26;31;32;41;40;48;59;63;72;83;93;96;113;139;132;.;.;.;.;.;.;.;.
"Tid brukt på en gjennomsnittsdag (minutter)";"Hjemme-PC";"45-64 år";.;.;2;8;8;8;12;15;24;26;22;22;37;32;40;41;45;54;55;68;99;99;.;.;.;.;.;.;.;.
"Tid brukt på en gjennomsnittsdag (minutter)";"Hjemme-PC";"65-79 år";.;.;0;2;0;2;2;4;7;2;6;5;16;10;12;18;21;29;31;38;29;39;.;.;.;.;.;.;.;.
"Tid brukt på en gjennomsnittsdag (minutter)";"Videomedier";"9-15 år";15;13;12;12;13;13;13;14;17;12;19;18;18;17;20;14;13;15;12;12;17;21;22;25;43;39;49;51;62;67
"Tid brukt på en gjennomsnittsdag (minutter)";"Videomedier";"16-24 år";19;16;11;17;15;14;18;17;16;21;17;21;18;21;26;30;29;25;26;28;28;43;44;47;56;66;74;85;91;107
"Tid brukt på en gjennomsnittsdag (minutter)";"Videomedier";"25-44 år";6;7;4;6;6;5;5;6;7;7;7;8;8;8;11;8;15;15;16;15;18;26;21;29;48;45;58;63;72;99
"Tid brukt på en gjennomsnittsdag (minutter)";"Videomedier";"45-64 år";3;3;2;3;3;1;3;2;2;2;4;3;3;3;3;4;4;5;6;6;6;8;11;10;23;21;28;52;44;87
"Tid brukt på en gjennomsnittsdag (minutter)";"Videomedier";"65-79 år";1;0;2;1;1;1;3;1;2;1;1;2;1;1;1;2;1;2;3;0;3;2;3;3;12;12;9;26;20;59
"Tid brukt på en gjennomsnittsdag (minutter)";"Internett";"9-15 år";.;.;.;.;.;.;.;10;10;10;19;21;40;45;72;61;60;66;75;80;102;102;119;116;137;132;152;180;198;256
"Tid brukt på en gjennomsnittsdag (minutter)";"Internett";"16-24 år";.;.;.;.;.;.;.;32;39;38;51;2;73;89;104;104;128;162;150;163;196;196;213;243;252;264;270;318;340;408
"Tid brukt på en gjennomsnittsdag (minutter)";"Internett";"25-44 år";.;.;.;.;.;.;.;23;26;29;42;43;49;71;78;88;97;104;108;122;134;134;151;175;203;211;228;245;269;294
"Tid brukt på en gjennomsnittsdag (minutter)";"Internett";"45-64 år";.;.;.;.;.;.;.;11;16;16;21;25;35;34;39;43;49;59;62;67;88;88;88;107;124;132;141;177;181;226
"Tid brukt på en gjennomsnittsdag (minutter)";"Internett";"65-79 år";.;.;.;.;.;.;.;1;3;2;1;3;9;10;12;17;19;25;29;33;28;28;37;41;39;57;54;60;77;111
"Tid brukt på en gjennomsnittsdag (minutter)";"Digitale spill";"9-15 år";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;63;63;79;73;81;89;.
"Tid brukt på en gjennomsnittsdag (minutter)";"Digitale spill";"16-24 år";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;62;52;57;58;63;77;.
"Tid brukt på en gjennomsnittsdag (minutter)";"Digitale spill";"25-44 år";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;21;21;25;26;26;28;.
"Tid brukt på en gjennomsnittsdag (minutter)";"Digitale spill";"45-64 år";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;9;9;8;9;9;10;.
"Tid brukt på en gjennomsnittsdag (minutter)";"Digitale spill";"65-79 år";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;6;4;4;6;6;4;.
